id,address,bedroom_nums,bathroom_nums,car_spaces,price,lat,lon,postcode,land_size_m2,price_per_m2,nearest_city,distance_to_nearest_city,avg_price_by_postcode,postcode_avg_price_per_m2
5553,"48 Ace Avenue, Fairfield",4.0,1,1.0,1025000.0,-28.522654,153.5443772,2483.0,639.0,1604.0688575899844,Newcastle,225125.3091383589,1096601.9555555556,1433.1386768134096
5554,"52 Wattle Avenue, North St Marys",4.0,1,1.0,1005000.0,-35.0117867,150.8265781,2540.0,746.0,1347.1849865951742,Wollongong,3454.656289565045,1206041.075630252,1572.9630625528553
5555,"15 St Clair Avenue, St Clair",4.0,1,3.0,1000000.0,-34.5794966,150.8396766,2529.0,628.0,1592.3566878980891,Wollongong,258.6591811912182,1069647.7777777778,2503.927068252577
5556,"10 Hooghly Avenue, Cameron Park",4.0,2,2.0,940000.0,-33.78804,150.782622,2759.0,664.0,1415.6626506024097,Sydney,1885.7629328400794,993510.025,1584.7302901836579
5557,"22 Armstrong Avenue, Killarney Vale",3.0,1,1.0,910000.0,-32.7186309,151.5138066,2320.0,660.0,1378.7878787878788,Newcastle,1135.672610983596,1161134.328358209,1767.5386973296727
5558,"30 Marmion Street, Mannering Park",5.0,2,4.0,905000.0,-28.494632,153.542345,2483.0,640.0,1414.0625,Newcastle,227529.65024649043,1096601.9555555556,1433.1386768134096
5559,"7 Boston Street, Tea Gardens",3.0,2,2.0,845000.0,-33.8633505,150.957624,2165.0,673.0,1255.5720653789003,Sydney,633.7050602625164,1384399.7636363637,2914.2834290089822
5560,"86 Melaleuca Drive, Yamba",3.0,2,3.0,795000.0,-33.7519114,150.7818412,2760.0,616.0,1290.5844155844156,Sydney,1963.839705074099,1167303.2786885246,1919.9047405135568
5561,"10 The Heights, Tamworth",4.0,2,2.0,760000.0,-34.8738335,138.5343019,5011.0,661.0,1149.7730711043873,Wollongong,1529388.363596859,760000.0,1149.7730711043873
5562,"38 Collinson Street, Tenambit",3.0,1,1.0,751000.0,-32.902932,151.611842,2285.0,632.3,1187.7273446148981,Newcastle,284.7329318799894,1226370.4464285714,1737.175307398787
5563,"7 Lake Road, Fennell Bay",3.0,1,1.0,722000.0,-33.367667,151.472183,2261.0,657.0,1098.9345509893456,Newcastle,2885.272131779955,1315426.6804123712,2254.3158158062597
5564,"3 Florence Street, Kurri Kurri",3.0,1,2.0,695000.0,-33.1472657,151.5385327,2259.0,607.0,1144.9752883031301,Newcastle,1064.2566692578198,1181147.8653846155,2061.40506556148
5565,"20 Grenfell Street, Buxton",3.0,1,2.0,690000.0,-32.6557531,152.1529705,2324.0,694.0,994.2363112391931,Newcastle,2133.4096158987127,1334375.0,1669.6352414727983
5566,"59 Urana Street, Turvey Park",3.0,2,1.0,629000.0,-29.4220093,153.3276023,2464.0,626.0,1004.7923322683706,Newcastle,146813.3571669177,1365117.6470588236,2816.7735986939324
5567,"2 Brigalow Avenue, Dubbo",3.0,1,1.0,568000.0,-31.12698,150.9058086,2340.0,670.2,847.5082065055207,Newcastle,40012.80671153937,1352008.4571428571,1757.5402712255006
5568,"683 Ballina Road, Goonellabah",3.0,1,1.0,545000.0,-32.7417653,151.6058209,2323.0,658.0,828.2674772036474,Newcastle,641.572181208982,1335706.1506849315,2499.8443512366644
5569,"38 Thompson Street, Muswellbrook",4.0,2,3.0,540000.0,-32.992083,151.594609,2283.0,696.0,775.8620689655172,Newcastle,382.381093700012,1199340.7407407407,1204.9971251270954
5570,"14 Verna Close, Armidale",4.0,1,1.0,520000.0,-32.8141228,151.4717949,2327.0,800.0,650.0,Newcastle,1069.8716840585003,1652198.3243243243,2122.2055367254884
5571,"6 Pine Close, Gloucester",3.0,1,1.0,465000.0,-34.261512,150.5328281,2571.0,773.0,601.5523932729625,Wollongong,1574.4754087361896,1285415.2926829269,1648.732099504949
5572,"9 Diamond Close, Swansea Heads",5.0,3,4.0,2800000.0,-35.1270208,147.3572137,2650.0,708.0,3954.8022598870057,Wollongong,129914.01653680438,1567675.0680628272,2116.189669313961
5573,"16 Paul Crescent, Moss Vale",3.0,1,1.0,850000.0,-32.255067,148.6259192,2830.0,660.0,1287.878787878788,Sydney,92779.90553097727,1661654.3896103897,2051.7987311517263
5574,"11 See Avenue, Armidale",3.0,1,2.0,360000.0,-28.8116178,153.3065633,2480.0,723.0,497.9253112033195,Newcastle,192676.566709237,1652307.9782608696,1809.103715857132
5575,"3 Bayview Avenue, Hyams Beach",3.0,2,3.0,2100000.0,-32.2767003,150.8943026,2333.0,601.0,3494.1763727121465,Newcastle,12050.121700868258,1592599.1803278688,1854.9783298713025
5576,"47 Irrigator Drive, North Richmond",4.0,3,2.0,1600000.0,-30.49575545,151.65373432827138,2350.0,657.0,2435.3120243531203,Newcastle,59251.578505539575,1725152.6403508773,1802.0716416684159
5577,"26 Shannon Place, Kearns",4.0,2,2.0,1262000.0,-32.0180997,151.9658019,2422.0,683.0,1847.7306002928258,Newcastle,8604.868253836967,1601038.4615384615,1705.2362442306528
5578,"81 Homer Street, Earlwood",5.0,3,3.0,3610000.0,-33.0910037,151.6606804,2281.0,698.0,5171.919770773639,Newcastle,409.7157965785241,1345839.2857142857,1642.9675959316644
5579,"2 Clermont Avenue, Concord",3.0,2,2.0,3100000.0,-34.557995,150.359289,2577.0,632.3,4902.736043017555,Wollongong,3019.0492174601536,1396861.7021276595,1418.7857459332083
5580,"45 Panaview Crescent, North Rocks",4.0,3,2.0,2705000.0,-30.53085935,151.6744613019399,2350.0,720.8,3752.774694783574,Newcastle,57509.598618448916,1725152.6403508773,1802.0716416684159
