id,address,bedroom_nums,bathroom_nums,car_spaces,land_size,house_type,price
3,"55 Bambil Road, Berowra, NSW 2081",4,2,2,,House,"$1,662,000"
3,"23 Bourke Street, Adamstown, NSW 2289",3,2,2,,House,"$1,660,000"
3,"66 Priestman Avenue, Umina Beach, NSW 2257",4,2,2,487m²,House,"$1,660,000"
3,"117 MacArthur Circuit, Camden Park, NSW 2570",5,2,2,833m²,House,"$1,625,000"
3,"24B Welford Circuit, North Kellyville, NSW 2155",4,3,1,,Duplex/semi-detached,"$1,610,000"
3,"1106A Old Princes Highway, Engadine, NSW 2233",4,2,2,,House,"$1,540,000"
3,"7 White Hill Lane, Orange, NSW 2800",4,2,7,2.7ha,House,"$1,500,000"
3,"3 Sutton Close, Niagara Park, NSW 2250",4,3,2,551m²,House,"$1,410,000"
3,"28 Eucalyptus Street, Constitution Hill, NSW 2145",3,2,4,582m²,House,"$1,400,000"
3,"51 Katoomba Street, The Ponds, NSW 2769",4,2,1,250m²,House,"$1,357,500"
4,"47 Martin Street, Roselands, NSW 2196",3,1,4,,House,"$1,350,000"
4,"15 Binnet Street, Pemulwuy, NSW 2145",4,2,1,275m²,House,"$1,335,000"
4,"21 Delambre Place, Hinchinbrook, NSW 2168",4,2,4,472m²,House,"$1,330,000"
4,"30 Zeta Street, Box Hill, NSW 2765",4,3,2,335m²,House,"$1,315,000"
4,"29 Bonito Street, Corlette, NSW 2315",3,2,2,732m²,House,"$1,310,000"
4,"15 Timesweep Drive, St Clair, NSW 2759",5,1,3,639m²,House,"$1,305,000"
4,"30 Moray Street, Winmalee, NSW 2777",4,2,2,700m²,House,"$1,290,000"
4,"6 Cobbedah Drive, Springfield, NSW 2250",4,2,2,607m²,House,"$1,285,000"
4,"3 Guide Street, Leppington, NSW 2179",4,2,1,,House,"$1,260,000"
4,"13 Reservoir Circuit, North Richmond, NSW 2754",4,2,2,432m²,House,"$1,260,000"
4,"23 Leicester Road, Marulan, NSW 2579",4,2,6,"2,175m²",House,"$1,260,000"
4,"27 Swift Street, Ballina, NSW 2478",3,1,,607m²,House,"$1,250,000"
4,"5 Laurel Place, Umina Beach, NSW 2257",3,2,2,493.2m²,House,"$1,250,000"
4,"18 Chestnut Crescent, Prestons, NSW 2170",4,2,2,472m²,House,"$1,250,000"
4,"2 Boora Boora Road, Kincumber, NSW 2251",5,2,3,659m²,House,"$1,240,000"
4,"294 Old Mill Road, Wolumla, NSW 2550",3,2,2,9.71ha,Acreage,"$1,225,000"
4,"32 Langford Drive, Kariong, NSW 2250",4,2,2,604m²,House,"$1,210,000"
4,"3 Lowana Crescent, Kahibah, NSW 2290",5,3,2,927m²,House,"$1,200,000"
4,"108 Campbell Street, Woonona, NSW 2517",3,2,1,,House,"$1,200,000"
4,"23 Noakes Street, Shoalhaven Heads, NSW 2535",4,2,5,653m²,House,"$1,190,000"
4,"31 Stella Road, Umina Beach, NSW 2257",3,1,1,519.5m²,House,"$1,188,800"
4,"1/70 White Cross Road, Winmalee, NSW 2777",4,2,2,395m²,House,"$1,180,000"
4,"14 Christine Street, South Penrith, NSW 2750",4,2,1,,House,"$1,175,000"
4,"34 Flagship Ridge, Jordan Springs, NSW 2747",4,2,2,429m²,House,"$1,150,000"
4,"90 Northbourne Drive, Marsden Park, NSW 2765",4,2,1,224m²,House,"$1,150,000"
5,"102 Wentworth Street, Blackheath, NSW 2785",2,2,2,721m²,House,"$1,130,000"
5,"23 Unara Parkway, Cumbalum, NSW 2478",4,2,2,751m²,House,"$1,112,000"
5,"6 Tramore Esplanade, Chisholm, NSW 2322",5,3,2,501.6m²,House,"$1,100,000"
5,"34 Crescent St East, Urunga, NSW 2455",5,2,3,771.4m²,House,"$1,100,000"
5,"5 Martin Avenue, Ulladulla, NSW 2539",4,3,3,601m²,House,"$1,075,000"
5,"35 Olympus Drive, St Clair, NSW 2759",3,1,2,631.7m²,House,"$1,075,000"
5,"4 Moray Street, Winmalee, NSW 2777",4,2,2,700m²,House,"$1,070,000"
5,"7 Brimbin Road, Cundletown, NSW 2430",4,3,6,2.02ha,House,"$1,060,000"
5,"25 Irma Place, Lochinvar, NSW 2321",4,2,2,"1,518m²",House,"$1,020,000"
5,"9 Baker Street, Moss Vale, NSW 2577",4,2,2,700m²,House,"$1,010,000"
5,"10 & 10a Woola Road, Taree, NSW 2430",6,3,3,4.01ha,House,"$1,000,000"
5,"23 Eveleigh Road, Gunnedah, NSW 2380",4,2,5,1.21ha,House,"$1,000,000"
5,"310 Singles Ridge Road, Yellow Rock, NSW 2777",3,2,2,790.4m²,House,"$995,500"
5,"5 Tarini Place, Tahmoor, NSW 2573",4,2,2,454m²,House,"$995,000"
5,"85 Copeland Road, Emerton, NSW 2770",4,1,2,597.5m²,House,"$978,000"
5,"107 Kavanagh Street, Gregory Hills, NSW 2557",5,2,1,255m²,House,"$975,000"
5,"8 Ginger St, Woongarrah, NSW 2259",4,2,2,420m²,House,"$970,000"
5,"11 Hambledon Way, West Hoxton, NSW 2171",4,2,,,House,"$965,000"
5,"21 Aminya Crescent, Bradbury, NSW 2560",3,1,2,928.1m²,House,"$962,500"
5,"7 Willoughby Road, Leura, NSW 2780",3,2,2,817m²,House,"$962,500"
5,"33 Eastern Avenue, Tarro, NSW 2322",6,2,3,"1,312m²",House,"$960,000"
5,"18 Deakin Avenue, Lake Munmorah, NSW 2259",4,2,3,681m²,House,"$955,000"
5,"68 Central Park Drive, Bow Bowing, NSW 2566",3,1,2,,House,"$950,000"
5,"90 The Avenue, Mount Saint Thomas, NSW 2500",3,1,2,483m²,House,"$945,000"
5,"22 Woolard Road, Springfield, NSW 2250",3,2,,720m²,House,"$930,000"
6,"45 Hill Street, Belmont, NSW 2280",4,2,2,632m²,House,"$925,000"
6,"4 Tamaringa Avenue, Port Macquarie, NSW 2444",3,2,2,935m²,House,"$925,000"
6,"101 Stornaway Road, Queanbeyan, NSW 2620",4,2,2,677m²,House,"$920,000"
